20220806,27.9,30.9,26.1,5.5,89
20220807,29.6,32.6,27.6,2.8,82
20220808,28.3,30.9,26.2,33.3,87
20220809,26.7,28.5,25.4,72,88
20220810,27.4,29.6,25.8,49.7,90
20220811,26.7,28.8,25.5,12.4,90
20220812,26.1,27.1,24.9,76,93
20220813,28.7,32.6,25.8,0,81
20220814,29.5,33.3,26.9,0,78
20220815,30,33.6,28.1,0,78
20220816,29.4,33.2,26.2,9.1,82
20220817,28.2,32.3,26.2,29.8,86
20220818,28.1,30.4,26.2,22.1,87
20220819,28.3,32,26.4,4.8,85
20220820,28.2,31.9,26.5,8.4,83
20220821,29,32.9,26.6,1.9,84
20220822,30.1,32.9,28.2,0,77
20220823,31.1,34.5,28.6,0,77
20220824,30.8,34.9,26.4,5.5,73
20220825,27.2,29.8,25,48.1,85
20220826,29.4,32.9,27.5,0.1,80
20220827,29.7,33,27.4,0,78
20220828,30.5,34.4,28.3,0,80
20220829,30.1,34.6,28.6,0,78
20220830,29.5,32.3,27.9,13.1,80
20220831,29.7,31.7,28.1,4.7,80
20220901,29.4,32.9,26.9,2.8,78
20220902,29.5,32.3,27.3,0,63
20220903,30,33.9,26.9,0,54
20220904,30.8,34.7,27.7,0,55
20220905,31.1,35.3,28.8,0,52
20220906,30.8,34.5,28.4,0,61
20220907,28.4,29.6,26.7,8.6,81
20220908,29.5,32.8,27.8,0.05,70
20220909,29.6,33.3,27.5,0,55
20220910,28.9,31.4,27.6,0.05,76
20220911,29.4,32.1,27.4,0,78
20220912,30.8,33.7,28.2,0,66
20220913,31.7,35.9,28.8,0,56
20220914,31.7,35.5,29.6,0,46
20220915,31.3,34.5,28.7,0,52
20220916,30.8,33.8,28.6,0.05,63
20220917,31.1,33.9,29.1,0.05,69
20220918,30.1,34,27.4,20.3,77
20220919,28.8,32.3,25.9,3.3,77
20220920,28.9,30.7,26.2,3.5,79
20220921,28.1,30.4,25.8,8.5,72
20220922,28.5,31.2,26.9,0,73
20220923,28.5,32.1,25.6,13.4,77
20220924,28.3,31,25.8,0,71
20220925,28.8,32.7,26.9,0,71
20220926,29.4,33.7,27.2,0,70
20220927,29.2,32.3,28.1,0.05,72
20220928,28.8,31.2,27.7,0,73
20220929,28,29.7,25,8.1,81
20220930,26.4,28.3,24.8,102.7,91
20221001,27.7,30.5,25.7,2.6,86
20221002,28.9,31.9,27.7,0.05,81
20221003,29.5,33,27.5,0,76
20221004,29.4,33.5,27.5,0,76
20221005,29.1,31.4,27.8,0.05,75
20221006,28.9,32,27.3,0.05,74
20221007,28.3,31.5,25.8,22.8,77
20221008,27.7,30.4,26,0.05,71
20221009,27.1,31,23.7,4.8,71
20221010,24,26.6,21.6,0,51
20221011,24.1,28.1,21.2,0,48
20221012,25.2,29.6,21.9,0,50
20221013,26,29.6,23.3,0,60
20221014,26.9,31,24.9,0,66
20221015,27.5,31.6,24.1,0,53
20221016,28.3,31.3,25.6,0,46
20221017,27.2,29,26.3,0.05,45
20221018,20.9,26.7,17.3,19.7,67
20221019,23,26.2,18.3,0,54
20221020,24.3,27.2,22.7,0,64
20221021,25.2,28.5,23.2,0,68
20221022,26.6,30.3,22.8,0.05,67
20221023,26.5,30.7,24.3,0,71
20221024,25.2,27.1,23.8,0,68
20221025,23.8,25.8,22.6,0,63
20221026,23.9,26.7,22,0,66
20221027,24.6,28.1,22.4,0,70
20221028,25.5,30,23.3,0,68
20221029,25.7,30,23.7,0,65
20221030,25.4,28.2,22.6,0,57
20221031,25.4,27.2,23.8,0,50
20221101,22,25.3,18.9,4.5,64
20221102,20.2,21.5,18.9,23.7,86
20221103,22.1,23.2,20.9,58.1,93
20221104,22.6,24,21.9,4,87
20221105,21.5,22.2,20.8,0.05,79
20221106,20.8,22.5,19.3,6.6,84
20221107,21.5,23.5,19.7,1.6,85
20221108,22.4,23.7,20.6,7.7,85
20221109,23.8,26.7,21.6,0,77
20221110,24.8,27.9,23,0,78
20221111,25,28.1,23.5,0,77
20221112,24.6,26.8,23.3,0.05,79
20221113,24.8,28.5,22.9,0,81
20221114,24.1,25.7,23.2,0,79
20221115,24.3,26,23.4,0,78
20221116,24.1,25.8,23.2,0,80
20221117,24.5,27.2,22.9,0,80
20221118,24.6,26.9,23.1,0,80
20221119,25.1,27.6,23.7,0,77
20221120,24.7,27.5,23.3,0,78
20221121,23.9,25.3,23.1,0.5,78
20221122,23.4,24.1,22.3,2.5,86
20221123,23.4,24.8,22.5,3.4,91
20221124,21.8,22.6,21.4,9.6,93
20221125,22.3,23.4,21.3,4.8,92
20221126,22.7,23.6,21.7,0.5,88
20221127,23.1,23.7,22.1,1.9,90
20221128,25.6,28.6,23.4,1.4,88
20221129,25.5,27.8,24.3,0,85
20221130,22.8,26.1,18.3,0,82
20221201,16.5,18.4,14.8,0.05,72
20221202,16.5,19.4,13.6,0,69
20221203,19.2,21.5,16.9,0,73
20221204,21.2,23.3,19.9,0,74
20221205,17.9,20.7,15.7,0,66
20221206,17.1,19.8,14.9,0,68
20221207,18.7,21.5,16.6,0.05,68
20221208,19.9,22.6,17.7,0,72
20221209,19.6,22.7,17.4,0,67
20221210,18.4,21.6,15.6,0,61
20221211,16.7,19,15.3,0,60
20221212,16.2,18,15,0.05,61
20221213,14.5,16.7,12.9,3.2,71
20221214,12.5,13.1,11.5,8.7,91
20221215,14.6,16.2,12.3,3.8,91
20221216,16.9,18.2,15.1,0.9,90
20221217,13.2,15.1,11.8,9.1,60
20221218,11.8,13.8,9.4,0.05,30
20221219,13.7,16.6,10.6,0,50
20221220,16.8,19.2,14.7,0,71
20221221,17.5,19.8,15.5,0.05,46
20221222,17.2,20.3,13.9,0,35
20221223,17.1,20.2,14.7,0,40
20221224,16.9,20.1,14.4,0,49
20221225,16.2,18.5,14.1,0,59
20221226,16.3,18.8,14.3,0,65
20221227,16.9,18.8,14.9,0,70
20221228,17.7,20.6,14.7,0,68
20221229,16.8,18.9,14.5,0.05,60
20221230,15,17.3,12.4,0,62
20221231,15.5,18.7,12,0,65
